

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
278.927  007.565  006.772: sourcing /Users/harvey/.vim_runtime/autoload/awesome-vim-colorschemes/colors/happy_hacking.vim
281.922  000.247  000.247: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
283.534  000.246  000.246: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
293.385  014.259  013.766: sourcing /Users/harvey/.vim_runtime/autoload/awesome-vim-colorschemes/colors/PaperColor.vim
294.095  000.421  000.421: sourcing /usr/local/Cellar/vim/8.2.2300/share/vim/vim82/syntax/nosyntax.vim
299.583  000.777  000.777: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
303.642  000.494  000.494: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
312.998  017.849  016.578: sourcing /Users/harvey/.vim_runtime/autoload/awesome-vim-colorschemes/colors/PaperColor.vim
313.146  018.143  000.294: sourcing /usr/local/share/vim/vim82/syntax/synload.vim
313.188  019.638  001.074: sourcing /usr/local/share/vim/vim82/syntax/syntax.vim
313.912  000.447  000.447: sourcing /usr/local/Cellar/vim/8.2.2300/share/vim/vim82/syntax/nosyntax.vim
319.647  000.574  000.574: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
322.058  000.562  000.562: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
332.057  016.877  015.741: sourcing /Users/harvey/.vim_runtime/autoload/awesome-vim-colorschemes/colors/PaperColor.vim
332.209  017.253  000.376: sourcing /usr/local/share/vim/vim82/syntax/synload.vim
332.252  018.900  001.200: sourcing /usr/local/share/vim/vim82/syntax/syntax.vim
332.713  319.511  002.686: sourcing $HOME/.vimrc
332.723  000.724: sourcing vimrc file(s)
333.308  000.180  000.180: sourcing /Users/harvey/.vim_runtime/sources_non_forked/ack.vim/plugin/ack.vim
334.104  000.574  000.574: sourcing /Users/harvey/.vim_runtime/autoload/tabnine-vim/plugin/youcompleteme.vim
334.525  000.091  000.091: sourcing /Users/harvey/.vim_runtime/autoload/YCM-Generator/plugin/ycm-generator.vim
335.918  001.221  001.221: sourcing /Users/harvey/.fzf/plugin/fzf.vim
336.515  000.243  000.243: sourcing /Users/harvey/.vim_runtime/autoload/scratch.vim/plugin/scratch.vim
338.152  000.077  000.077: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/autoloclist.vim
338.349  000.028  000.028: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/balloons.vim
338.541  000.022  000.022: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/checker.vim
338.682  000.016  000.016: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/cursor.vim
338.766  000.014  000.014: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/highlighting.vim
338.847  000.013  000.013: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/loclist.vim
338.927  000.013  000.013: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/modemap.vim
339.008  000.013  000.013: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/notifiers.vim
339.144  000.038  000.038: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/registry.vim
